Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
197	Spectrogram 1	1	5174.097039	5174.380205	0	24000	0.2832	24000	-73.45	LARGE DEMO SET.wav
198	Spectrogram 1	1	5263.014665	5263.44749	0	24000	0.4328	24000	-67.6	LARGE DEMO SET.wav
199	Spectrogram 1	1	5315.25718	5315.567972	0	24000	0.3108	24000	-65.35	LARGE DEMO SET.wav
200	Spectrogram 1	1	5612.79715	5613.42165	0	24000	0.6245	24000	-62.83	LARGE DEMO SET.wav
201	Spectrogram 1	1	5615.567333	5615.896325	0	24000	0.329	24000	-60.64	LARGE DEMO SET.wav
202	Spectrogram 1	1	5619.384237	5619.672338	0	24000	0.2881	24000	-86.08	LARGE DEMO SET.wav
203	Spectrogram 1	1	5621.031844	5621.31501	0	24000	0.2832	24000	-73.74	LARGE DEMO SET.wav
204	Spectrogram 1	1	5621.71135	5622.064809	0	24000	0.3535	24000	-74.62	LARGE DEMO SET.wav
205	Spectrogram 1	1	5622.351352	5622.808348	0	24000	0.457	24000	-58.39	LARGE DEMO SET.wav
206	Spectrogram 1	1	5623.972689	5624.283481	0	24000	0.3108	24000	-68.1	LARGE DEMO SET.wav
207	Spectrogram 1	1	5624.612691	5624.96615	0	24000	0.3535	24000	-51.58	LARGE DEMO SET.wav
208	Spectrogram 1	1	5625.082026	5625.415906	0	24000	0.3339	24000	-50.45	LARGE DEMO SET.wav
209	Spectrogram 1	1	5630.119874	5630.659041	0	24000	0.5392	24000	-59.76	LARGE DEMO SET.wav
210	Spectrogram 1	1	6025.360452	6025.671244	0	24000	0.3108	24000	-68.7	LARGE DEMO SET.wav
211	Spectrogram 1	1	6026.448455	6026.969679	0	24000	0.5212	24000	-61.87	LARGE DEMO SET.wav
212	Spectrogram 1	1	6495.615701	6496.328529	0	24000	0.7128	24000	-64.74	LARGE DEMO SET.wav
213	Spectrogram 1	1	6498.154375	6498.740681	0	24000	0.5863	24000	-60.85	LARGE DEMO SET.wav
214	Spectrogram 1	1	6498.855078	6499.421871	0	24000	0.5668	24000	-64.59	LARGE DEMO SET.wav
215	Spectrogram 1	1	6499.562737	6499.931494	0	24000	0.3688	24000	-65.15	LARGE DEMO SET.wav
216	Spectrogram 1	1	6504.764428	6506.122032	0	24000	1.3576	24000	-65.59	LARGE DEMO SET.wav
217	Spectrogram 1	1	6506.215098	6507.165892	0	24000	0.9508	24000	-61.78	LARGE DEMO SET.wav
218	Spectrogram 1	1	6507.322381	6507.850037	0	24000	0.5277	24000	-62.89	LARGE DEMO SET.wav
219	Spectrogram 1	1	6507.983716	6508.255371	0	24000	0.2717	24000	-67.03	LARGE DEMO SET.wav
220	Spectrogram 1	1	6508.309075	6508.784599	0	24000	0.4755	24000	-62.26	LARGE DEMO SET.wav
221	Spectrogram 1	1	6517.009794	6517.320586	0	24000	0.3108	24000	-67.01	LARGE DEMO SET.wav
222	Spectrogram 1	1	6517.482438	6517.957963	0	24000	0.4755	24000	-69.19	LARGE DEMO SET.wav
223	Spectrogram 1	1	6518.037464	6518.32063	0	24000	0.2832	24000	-71.03	LARGE DEMO SET.wav
224	Spectrogram 1	1	6518.954443	6519.515301	0	24000	0.5609	24000	-65.7	LARGE DEMO SET.wav
225	Spectrogram 1	1	6536.849849	6537.160641	0	24000	0.3108	24000	-55.29	LARGE DEMO SET.wav
226	Spectrogram 1	1	6544.72187	6545.907331	0	24000	1.1855	24000	-67.87	LARGE DEMO SET.wav
227	Spectrogram 1	1	6548.839215	6549.384674	0	24000	0.5455	24000	-49.83	LARGE DEMO SET.wav
228	Spectrogram 1	1	6562.769919	6563.82478	0	24000	1.0549	24000	-54.46	LARGE DEMO SET.wav
229	Spectrogram 1	1	6566.844597	6567.155389	0	24000	0.3108	24000	-54.31	LARGE DEMO SET.wav
230	Spectrogram 1	1	6567.420599	6568.648727	0	24000	1.2281	24000	-53.08	LARGE DEMO SET.wav
231	Spectrogram 1	1	6569.536301	6569.81972	0	24000	0.2834	24000	-89.96	LARGE DEMO SET.wav
232	Spectrogram 1	1	6572.90328	6573.278073	0	24000	0.3748	24000	-77.93	LARGE DEMO SET.wav
233	Spectrogram 1	1	6588.81799	6589.339531	0	24000	0.5215	24000	-67.93	LARGE DEMO SET.wav
234	Spectrogram 1	1	6591.057997	6591.368789	0	24000	0.3108	24000	-71.01	LARGE DEMO SET.wav
